source_model,source_year,model_alternative,Versions,Portes,Energie,Boite,"CO2
(g/km)",Prix,url,option_marque_select,option_modele_select,option_year_select,match_type_marque,match_type_modele,match_type_annee
Renault Captur,2020,Renault Captur,(2) 1.3 TCE 150 FAP INITIALE PARIS,5,Ess.,Mécanique,126 (nedc),27 600 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,(2) 1.3 TCE 150 FAP INITIALE PARIS EDC,5,Ess.,Automatique,125 (nedc),29 200 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,(2) 1.3 TCE 150 FAP INTENS,5,Ess.,Mécanique,126 (nedc),24 200 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,(2) 1.3 TCE 150 FAP INTENS EDC,5,Ess.,Automatique,125 (nedc),25 800 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,(2) 1.3 TCE 150 FAP RED EDITION,5,Ess.,Mécanique,126 (nedc),24 900 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,(2) 1.3 TCE 150 FAP RED EDITION EDC,5,Ess.,Automatique,125 (nedc),26 500 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,(2) 1.5 DCI 90 BUSINESS,5,Dies.,Mécanique,111 (nedc),22 800 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,(2) 1.5 DCI 90 BUSINESS EDC,5,Dies.,Automatique,113 (nedc),24 400 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,(2) 1.5 DCI 90 INITIALE PARIS EDC,5,Dies.,Automatique,113 (nedc),29 300 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,"Devis assurance auto
Financement",,,,,,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,(2) 1.5 DCI 90 INTENS,5,Dies.,Mécanique,111 (nedc),24 300 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,(2) 1.5 DCI 90 INTENS EDC,5,Dies.,Automatique,113 (nedc),25 900 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,(2) 1.5 DCI 90 RED EDITION,5,Dies.,Mécanique,111 (nedc),25 000 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,(2) 1.5 DCI 90 RED EDITION EDC,5,Dies.,Automatique,113 (nedc),26 600 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,(2) 1.5 DCI 90 ZEN,5,Dies.,Mécanique,111 (nedc),22 200 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,(2) 1.5 DCI 90 ZEN EDC,5,Dies.,Automatique,113 (nedc),23 800 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,0.9 TCE 90 ENERGY BUSINESS,5,Ess.,Mécanique,114 (nedc),19 500 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.0 TCE 100 BUSINESS 2020,5,Ess.,Mécanique,135 (wltp),22 350 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.0 TCE 100 GPL BUSINESS,5,Ess./GPL,Mécanique,124 (wltp),22 350 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.0 TCE 100 GPL INTENS,5,Ess./GPL,Mécanique,128 (wltp),24 350 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.0 TCE 100 GPL ZEN,5,Ess./GPL,Mécanique,124 (wltp),21 750 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.0 TCE 100 INTENS,5,Ess.,Mécanique,139 (wltp),24 250 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.0 TCE 100 LIFE,5,Ess.,Mécanique,133 (wltp),19 150 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.0 TCE 100 ZEN,5,Ess.,Mécanique,135 (wltp),21 750 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.0 TCE 90 BUSINESS,5,Ess.,Mécanique,132 (wltp),22 350 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.0 TCE 90 ENERGY INTENS,5,Ess.,Mécanique,136 (wltp),24 350 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.0 TCE 90 LIFE,5,Ess.,Mécanique,130 (wltp),19 150 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.0 TCE 90 ZEN,5,Ess.,Mécanique,132 (wltp),21 750 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.3 TCE 130 FAP BUSINESS,5,Ess.,Mécanique,142 (wltp),23 850 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.3 TCE 130 FAP BUSINESS EDC,5,Ess.,Automatique,141 (wltp),25 650 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.3 TCE 130 FAP INITIALE PARIS EDC,5,Ess.,Automatique,145 (wltp),31 050 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.3 TCE 130 FAP INTENS,5,Ess.,Mécanique,147 (wltp),25 750 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.3 TCE 130 FAP INTENS EDC,5,Ess.,Automatique,145 (wltp),27 550 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.3 TCE 130 FAP ZEN,5,Ess.,Mécanique,142 (wltp),23 250 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.3 TCE 130 FAP ZEN EDC,5,Ess.,Automatique,141 (wltp),25 050 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.3 TCE 140 FAP BUSINESS EDC,5,Ess.,Automatique,135 (wltp),25 650 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,"Devis assurance auto
Financement",,,,,,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.3 TCE 140 FAP INITIALE PARIS EDC,5,Ess.,Automatique,135 (wltp),31 050 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.3 TCE 140 FAP INTENS EDC,5,Ess.,Automatique,135 (wltp),27 550 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.3 TCE 140 FAP ZEN EDC,5,Ess.,Automatique,135 (wltp),25 050 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.3 TCE 155 FAP INITIALE PARIS EDC,5,Ess.,Automatique,145 (wltp),31 950 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.3 TCE 155 FAP INTENS EDC,5,Ess.,Automatique,145 (wltp),28 450 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.5 BLUE DCI 115 BUSINESS,5,Dies.,Mécanique,125 (wltp),24 950 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.5 BLUE DCI 115 BUSINESS EDC,5,Dies.,Automatique,124 (wltp),26 750 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.5 BLUE DCI 115 INITIALE PARIS EDC,5,Dies.,Automatique,130 (wltp),32 150 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.5 BLUE DCI 115 INTENS,5,Dies.,Mécanique,129 (wltp),26 850 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.5 BLUE DCI 115 INTENS EDC,5,Dies.,Automatique,129 (wltp),28 650 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.5 BLUE DCI 115 ZEN,5,Dies.,Mécanique,125 (wltp),24 350 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.5 BLUE DCI 115 ZEN EDC,5,Dies.,Automatique,124 (wltp),26 150 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.5 BLUE DCI 95 BUSINESS,5,Dies.,Mécanique,124 (wltp),23 950 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.5 BLUE DCI 95 INTENS,5,Dies.,Mécanique,129 (wltp),25 850 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.5 BLUE DCI 95 ZEN,5,Dies.,Mécanique,124 (wltp),23 350 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.6 E-TECH PLUG-IN 160 INITIALE PARIS,5,Ess./Elec.,Automatique,35 (wltp),38 250 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Renault Captur,2020,Renault Captur,II 1.6 E-TECH PLUG-IN 160 INTENS,5,Ess./Elec.,Automatique,35 (wltp),34 850 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur-2/2020/,RENAULT,CAPTUR,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.0 ECOTSI 115 S&S STYLE BUSINESS DSG,5,Ess.,Automatique,104 (nedc),25 930 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.0 ECOTSI 115 S&S STYLE DSG,5,Ess.,Automatique,104 (nedc),25 340 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.0 TSI 115 S&S STYLE BUSINESS,5,Ess.,Mécanique,120 (wltp),24 320 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.0 TSI 115 S&S URBAN,5,Ess.,Mécanique,125 (wltp),24 000 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.0 TSI 115 S&S URBAN ADVANCED,5,Ess.,Mécanique,107 (nedc),23 875 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.0 TSI 115 START/STOP REFERENCE,5,Ess.,Mécanique,107 (nedc),20 390 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.0 TSI 115 START/STOP STYLE,5,Ess.,Mécanique,120 (wltp),23 640 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.5 TGI 130 S&S STYLE,5,Ess./GNV,Mécanique,96 (nedc),25 990 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.5 TGI 130 S&S STYLE BUSINESS,5,Ess./GNV,Mécanique,96 (nedc),26 580 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.5 TGI 130 S&S STYLE BUSINESS DSG7,5,Ess./GNV,Automatique,112 (wltp),28 710 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.5 TGI 130 S&S STYLE DSG,5,Ess./GNV,Automatique,111 (wltp),28 140 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.5 TGI 130 S&S XCELLENCE,5,Ess./GNV,Mécanique,96 (nedc),29 040 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.5 TGI 130 S&S XCELLENCE DSG,5,Ess./GNV,Automatique,115 (wltp),31 240 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.5 TSI 150 ACT S&S FR DSG,5,Ess.,Automatique,141 (wltp),30 540 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.5 TSI 150 ACT S&S FR SPORT LINE DSG7,5,Ess.,Automatique,141 (wltp),34 670 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.5 TSI 150 ACT S&S XCELLENCE,5,Ess.,Mécanique,133 (wltp),28 740 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.5 TSI 150 ACT S&S XCELLENCE DSG,5,Ess.,Automatique,143 (wltp),30 540 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.5 TSI 150 ACT START/STOP FR,5,Ess.,Mécanique,131 (wltp),28 740 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.6 TDI 115 S&S STYLE DSG,5,Dies.,Automatique,102 (nedc),27 725 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,"Devis assurance auto
Financement",,,,,,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.6 TDI 115 S&S URBAN 100G,5,Dies.,Mécanique,135 (wltp),27 000 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.6 TDI 115 S&S URBAN ADVANCED,5,Dies.,Mécanique,100 (nedc),26 670 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.6 TDI 115 S&S URBAN ADVANCED DSG7,5,Dies.,Automatique,102 (nedc),28 370 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.6 TDI 115 S&S XCELLENCE,5,Dies.,Mécanique,136 (wltp),29 740 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.6 TDI 115 S&S XCELLENCE DSG,5,Dies.,Automatique,102 (nedc),30 880 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.6 TDI 115 START/STOP REFERENCE,5,Dies.,Mécanique,100 (nedc),23 460 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.6 TDI 115 START/STOP STYLE,5,Dies.,Mécanique,127 (wltp),26 640 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.6 TDI 115 START/STOP STYLE BUSINESS,5,Dies.,Mécanique,128 (wltp),27 320 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 1.6 TDI 115 START/STOP STYLE BUSINESS DSG,5,Dies.,Automatique,102 (nedc),28 425 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 2.0 TDI 150 S&S FR SPORT LINE DSG7,5,Dies.,Automatique,136 (wltp),37 740 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 2.0 TDI 150 S&S XCELLENCE,5,Dies.,Mécanique,134 (wltp),31 740 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 2.0 TDI 150 S&S XCELLENCE DSG,5,Dies.,Automatique,137 (wltp),33 610 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 2.0 TDI 150 START/STOP 7CV FR DSG,5,Dies.,Automatique,136 (wltp),33 610 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 2.0 TDI 150 START/STOP FR,5,Dies.,Mécanique,133 (wltp),31 740 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
Seat Leon,2020,Seat Leon,III (2) 2.0 TDI 184 S&S FR DSG,5,Dies.,Automatique,111 (nedc),33 330 €,https://www.caradisiac.com/fiches-techniques/modele--seat-leon-3/2020/,SEAT,LEON,2020,Very Exact match,Partial match,Very Exact match
