marque,modele,kilometrage,carburant,transmission,puissance,nb_ancien_proprietaire,classe_vehicule,couleur,sellerie,emission_CO2,crit_air,usage_commerciale_anterieure,annee,prix_neuf,Mise_en_circulation
PEUGEOT,PEUGEOT 208,64667.0,Essence,Boite de vitesse manuelle,100,2,Citadine,Bleu,Mi-cuir ,96.0,Crit'Air 1,Non,2019,22573.333333333332,09/11/2019
CITROEN,CITROEN C5 X,59138.0,Essence,Boite de vitesse automatique,181,2,Berline,Gris,Cuir ,148.0,Crit'Air 1,Oui,2022,45500.0,09/03/2022
SKODA,SKODA OCTAVIA,72427.0,Diesel,Boite de vitesse manuelle,184,4,Berline,Gris,Tissu ,119.0,Crit'Air 2,Non,2018,33440.0,09/06/2018
PEUGEOT,PEUGEOT 308,86589.0,Diesel,Boite de vitesse automatique,130,2,Berline,Bleu,Mi-cuir ,122.0,Crit'Air 2,Non,2021,33825.0,09/06/2021
PEUGEOT,PEUGEOT 3008,92678.0,Diesel,Boite de vitesse automatique,130,3,SUV,Blanc,Mi-cuir ,102.0,Crit'Air 2,Non,2019,38250.0,09/05/2019
RENAULT,RENAULT CAPTUR,86882.0,Diesel,Boite de vitesse manuelle,90,3,SUV,Blanc,Mi-cuir ,95.0,Crit'Air 2,Non,2017,23600.0,09/07/2017
HONDA,HONDA CIVIC,93289.0,Essence,Boite de vitesse manuelle,126,3,Berline,Noir,Cuir ,141.0,Crit'Air 1,Oui,2020,30020.0,09/03/2020
RENAULT,RENAULT CAPTUR,61664.0,Essence,Boite de vitesse manuelle,90,1,SUV,Noir,Tissu ,113.0,Crit'Air 1,Non,2017,19750.0,09/09/2017
RENAULT,RENAULT KADJAR,60493.0,Diesel,Boite de vitesse automatique,115,Inconnu,SUV,Noir,Mi-cuir ,135.0,Crit'Air 2,Non,2020,35450.0,09/09/2020
PEUGEOT,PEUGEOT 2008,21656.0,Diesel,Boite de vitesse automatique,131,2,SUV,Noir,Mi-cuir ,132.0,Crit'Air 2,Oui,2023,33480.0,09/09/2023
