marque,modele,kilometrage,carburant,transmission,puissance,nb_ancien_proprietaire,classe_vehicule,couleur,sellerie,emission_CO2,crit_air,usage_commerciale_anterieure,annee,prix_neuf,Mise_en_circulation
BMW,BMW X3,88306.0,Essence,Boite de vitesse automatique,184,Inconnu,SUV,Bleu,Cuir ,168.0,Crit'Air 1,Non,2017,53900.0,09/09/2017
TOYOTA,TOYOTA YARIS,76500.0,Essence,Boite de vitesse manuelle,109,2,Citadine,Rouge,Tissu ,109.0,Crit'Air 1,Non,2017,16428.545454545456,09/07/2017
DACIA,DACIA SANDERO,36659.0,Essence,Boite de vitesse manuelle,90,2,Citadine,Bleu,Tissu ,115.0,Crit'Air 1,Unknown,2017,13035.0,09/12/2017
OPEL,OPEL CORSA,44235.0,Essence,Boite de vitesse manuelle,100,2,Citadine,Blanc,Cuir ,125.0,Crit'Air 1,Unknown,2020,20850.0,09/07/2020
RENAULT,RENAULT KANGOO,82942.0,Essence,Boite de vitesse automatique,115,2,Monospace,Gris,Tissu ,144.0,Crit'Air 1,Non,2017,24450.0,09/03/2017
TOYOTA,TOYOTA AYGO,21664.0,Essence,Boite de vitesse automatique,72,1,Citadine,Blanc,Tissu ,94.0,Crit'Air 1,Non,2019,12900.0,09/07/2019
VOLKSWAGEN,VOLKSWAGEN POLO,22345.0,Essence,Boite de vitesse automatique,95,2,Citadine,Gris,Tissu ,108.0,Crit'Air 1,Non,2018,20595.0,09/11/2018
KIA,KIA SPORTAGE,58988.0,Hybride,Boite de vitesse automatique,265,2,SUV,Gris,Mi-cuir ,25.0,Crit'Air 1,Oui,2022,48740.0,09/04/2022
VOLKSWAGEN,VOLKSWAGEN POLO,94817.0,Essence,Boite de vitesse manuelle,95,2,Citadine,Bleu,Tissu ,121.0,Crit'Air 1,Oui,2021,21407.5,09/02/2021
SKODA,SKODA KODIAQ,93516.0,Diesel,Boite de vitesse automatique,150,1,SUV,Blanc,Cuir ,149.0,Crit'Air 2,Non,2021,51077.5,09/05/2021
HONDA,HONDA CIVIC,85585.0,Essence,Boite de vitesse automatique,182,3,Berline,Noir,Cuir ,146.0,Crit'Air 1,Oui,2020,33172.5,09/08/2020
NISSAN,NISSAN QASHQAI,88629.0,Diesel,Boite de vitesse automatique,115,3,SUV,Blanc,Cuir ,109.0,Crit'Air 2,Oui,2019,38700.0,09/10/2019
DACIA,DACIA SANDERO,18087.0,Essence,Boite de vitesse automatique,91,1,Citadine,Orange,Tissu ,140.0,Crit'Air 1,Non,2021,16590.0,09/07/2021
AUDI,AUDI Q5,80798.0,Diesel,Boite de vitesse automatique,204,1,SUV,Noir,Cuir ,172.66666666666666,Crit'Air 2,Unknown,2020,67630.0,09/09/2020
VOLKSWAGEN,VOLKSWAGEN POLO,4628.0,Essence,Boite de vitesse automatique,95,1,Citadine,Noir,Mi-cuir ,108.0,Crit'Air 1,Non,2018,20595.0,09/09/2018
BMW,BMW SÉRIE 1,3654.0,Essence,Boite de vitesse automatique,136,Inconnu,Berline,Noir,Mi-cuir ,131.0,Crit'Air 1,Non,2023,43325.0,09/04/2023
OPEL,OPEL ASTRA,36042.0,Diesel,Boite de vitesse manuelle,122,3,Berline,Gris,Tissu ,116.0,Crit'Air 2,Oui,2020,29312.5,09/09/2020
NISSAN,NISSAN QASHQAI,91385.0,Essence,Boite de vitesse manuelle,115,Inconnu,SUV,Gris,Mi-cuir ,129.0,Crit'Air 1,Non,2017,26889.166666666668,09/11/2017
FORD,FORD FOCUS,95013.0,Diesel,Boite de vitesse automatique,150,2,Berline,Noir,Tissu ,113.0,Crit'Air 2,Non,2020,33216.666666666664,09/12/2019
PEUGEOT,PEUGEOT 3008,98546.0,Diesel,Boite de vitesse automatique,130,1,SUV,Bleu,Tissu ,137.0,Crit'Air 2,Non,2021,40270.0,09/05/2021
NISSAN,NISSAN QASHQAI,89165.0,Diesel,Boite de vitesse manuelle,115,2,SUV,Gris,Tissu ,105.0,Crit'Air 2,Non,2019,31000.0,09/03/2019
MERCEDES,MERCEDES-BENZ CLASSE C,96998.0,Essence,Boite de vitesse automatique,184,2,Berline,Gris,Cuir ,132.0,Crit'Air 1,Non,2019,54425.0,09/10/2019
PEUGEOT,PEUGEOT 2008,83570.0,Essence,Boite de vitesse manuelle,110,2,SUV,Blanc,Mi-cuir ,104.0,Crit'Air 1,Non,2019,23200.0,09/12/2019
BMW,BMW SÉRIE 1,40793.0,Diesel,Boite de vitesse automatique,150,3,Berline,Noir,Alcantara ,135.0,Crit'Air 2,Oui,2020,41725.0,09/08/2020
BMW,BMW SÉRIE 5,79629.0,Hybride,Boite de vitesse automatique,252,3,Berline,Gris,Cuir ,46.0,Crit'Air 1,Oui,2017,65250.0,09/12/2017
PEUGEOT,PEUGEOT 3008,85928.0,Essence,Boite de vitesse automatique,130,Inconnu,SUV,Gris,Mi-cuir ,109.0,Crit'Air 1,Non,2019,36850.0,09/08/2019
VOLKSWAGEN,VOLKSWAGEN T-ROC,87592.0,Essence,Boite de vitesse automatique,150,1,SUV,Gris,Mi-cuir ,143.0,Crit'Air 1,Non,2022,42287.5,09/06/2022
FORD,FORD PUMA,66859.0,Essence,Boite de vitesse automatique,125,Inconnu,SUV,Rouge,Tissu ,130.0,Crit'Air 1,Non,2021,26775.0,09/07/2021
PEUGEOT,PEUGEOT 308,92889.0,Essence,Boite de vitesse manuelle,110,2,Berline,Blanc,Tissu ,97.0,Crit'Air 1,Non,2017,25725.0,09/06/2017
PEUGEOT,PEUGEOT 3008,62491.0,Essence,Boite de vitesse automatique,130,2,SUV,Noir,Tissu ,109.0,Crit'Air 1,Oui,2019,33000.0,09/10/2019
TOYOTA,TOYOTA YARIS CROSS,24454.0,Hybride,Boite de vitesse automatique,116,1,SUV,Gris,Mi-cuir ,112.0,Crit'Air 1,Non,2023,32900.0,09/11/2023
VOLKSWAGEN,VOLKSWAGEN T-ROC,98221.0,Essence,Boite de vitesse automatique,190,1,SUV,Noir,Cuir ,155.0,Crit'Air 1,Non,2019,37790.0,09/01/2019
PEUGEOT,PEUGEOT 308,69789.0,Essence,Boite de vitesse manuelle,130,2,Break,Noir,Alcantara ,133.0,Crit'Air 1,Non,2020,32600.0,09/02/2020
RENAULT,RENAULT KADJAR,72495.0,Essence,Boite de vitesse manuelle,140,Inconnu,SUV,Gris,Mi-cuir ,135.0,Crit'Air 1,Non,2019,31833.333333333332,09/03/2019
DACIA,DACIA DUSTER,40830.0,Essence,Boite de vitesse manuelle,90,Inconnu,SUV,Blanc,Tissu ,141.0,Crit'Air 1,Non,2021,17700.0,09/07/2021
RENAULT,RENAULT CLIO,98381.0,Diesel,Boite de vitesse manuelle,115,2,Citadine,Rouge,Mi-cuir ,95.0,Crit'Air 2,Non,2020,24700.0,09/02/2020
PEUGEOT,PEUGEOT 108,7749.0,Essence,Boite de vitesse manuelle,69,1,Citadine,Gris,Tissu ,95.0,Crit'Air 1,Non,2018,13600.0,09/02/2018
OPEL,OPEL CROSSLAND X,49601.0,Diesel,Boite de vitesse automatique,120,2,SUV,Gris,Cuir ,131.0,Crit'Air 2,Oui,2021,25700.0,09/05/2021
CITROEN,CITROEN C4 CACTUS,88504.0,Essence,Boite de vitesse manuelle,110,Inconnu,SUV,Blanc,Tissu ,106.0,Crit'Air 1,Non,2019,23550.0,09/05/2019
SEAT,SEAT ATECA,49169.0,Diesel,Boite de vitesse automatique,150,Inconnu,SUV,Rouge,Mi-cuir ,138.0,Crit'Air 2,Non,2021,45247.5,09/07/2021
RENAULT,RENAULT MÉGANE,27396.0,Essence,Boite de vitesse manuelle,132,2,Berline,Noir,Tissu ,119.0,Crit'Air 1,Unknown,2018,26600.0,09/12/2017
PEUGEOT,PEUGEOT 2008,50281.0,Essence,Boite de vitesse manuelle,110,2,SUV,Blanc,Tissu ,104.0,Crit'Air 1,Oui,2019,21750.0,09/07/2019
FIAT,FIAT 500,13450.0,Essence,Boite de vitesse manuelle,69,Inconnu,Citadine,Blanc,Tissu ,109.0,Crit'Air 1,Non,2019,16390.0,09/10/2019
CITROEN,CITROEN C5 AIRCROSS,47667.0,Essence,Boite de vitesse automatique,181,2,SUV,Blanc,Mi-cuir ,166.0,Crit'Air 1,Unknown,2019,36950.0,09/10/2019
DACIA,DACIA SANDERO,81060.0,Diesel,Boite de vitesse manuelle,95,2,Citadine,Blanc,Tissu ,103.0,Crit'Air 2,Non,2019,15190.0,09/06/2019
VOLKSWAGEN,VOLKSWAGEN T-CROSS,29636.0,Essence,Boite de vitesse manuelle,115,2,SUV,Gris,Tissu ,105.0,Crit'Air 1,Non,2019,27860.0,09/06/2019
HYUNDAI,HYUNDAI I30 FASTBACK,66219.0,Essence,Boite de vitesse automatique,140,3,Berline,Bleu,Cuir ,123.0,Crit'Air 1,Non,2018,33000.0,09/10/2018
PEUGEOT,PEUGEOT 208,9760.0,Essence,Boite de vitesse automatique,100,1,Citadine,Blanc,Tissu ,122.0,Crit'Air 1,Non,2022,26620.0,09/05/2022
PEUGEOT,PEUGEOT 2008,34706.0,Essence,Boite de vitesse automatique,131,1,SUV,Blanc,Mi-cuir ,140.0,Crit'Air 1,Non,2020,29600.0,09/05/2020
PEUGEOT,PEUGEOT 2008,36411.0,Essence,Boite de vitesse automatique,131,3,SUV,Gris,Tissu ,136.0,Crit'Air 1,Non,2021,34585.0,09/06/2021
PEUGEOT,PEUGEOT 308,71796.0,Diesel,Boite de vitesse automatique,120,3,Berline,Gris,Tissu ,95.0,Crit'Air 2,Oui,2017,30825.0,09/05/2017
TOYOTA,TOYOTA C-HR,89725.0,Hybride,Boite de vitesse automatique,122,2,SUV,Gris,Tissu ,86.0,Crit'Air 1,Oui,2018,30800.0,09/11/2018
CITROEN,CITROEN C3,53997.0,Diesel,Boite de vitesse manuelle,102,3,Citadine,Blanc,Tissu ,95.0,Crit'Air 2,Oui,2019,20254.0,09/02/2019
RENAULT,RENAULT CAPTUR,45681.0,Essence,Boite de vitesse manuelle,90,4,SUV,Gris,Tissu ,125.0,Crit'Air 1,Oui,2019,20100.0,09/09/2019
PEUGEOT,PEUGEOT 208,20431.0,Essence,Boite de vitesse automatique,100,Inconnu,Citadine,Gris,Mi-cuir ,122.0,Crit'Air 1,Non,2021,25060.0,09/07/2021
SKODA,SKODA KODIAQ,79392.0,Diesel,Boite de vitesse automatique,150,2,SUV,Bleu,Tissu ,162.0,Crit'Air 2,Oui,2020,42235.0,09/06/2020
SKODA,SKODA FABIA,90695.0,Essence,Boite de vitesse manuelle,95,2,Citadine,Blanc,Tissu ,101.0,Crit'Air 1,Oui,2018,16790.0,09/05/2018
TOYOTA,TOYOTA RAV 4,48917.0,Hybride,Boite de vitesse automatique,222,1,SUV,Noir,Alcantara ,134.0,Crit'Air 1,Non,2021,49050.0,09/04/2021
KIA,KIA NIRO,73846.0,Hybride,Boite de vitesse automatique,141,2,SUV,Bleu,Mi-cuir ,119.0,Crit'Air 1,Non,2020,35840.0,09/07/2020
VOLKSWAGEN,VOLKSWAGEN TIGUAN,98849.0,Essence,Boite de vitesse automatique,150,2,SUV,Gris,Tissu ,134.0,Crit'Air 1,Non,2019,36510.0,09/04/2019
MERCEDES,MERCEDES-BENZ CLASSE GLC,98325.0,Diesel,Boite de vitesse automatique,204,2,SUV,Noir,Mi-cuir ,155.0,Crit'Air 2,Oui,2019,60400.0,09/05/2019
PEUGEOT,PEUGEOT 308,89477.0,Diesel,Boite de vitesse manuelle,100,2,Berline,Gris,Tissu ,97.0,Crit'Air 2,Non,2019,27766.0,09/04/2019
RENAULT,RENAULT CLIO,32000.0,Essence,Boite de vitesse automatique,130,2,Citadine,Gris,Mi-cuir ,130.0,Crit'Air 1,Unknown,2020,24400.0,09/06/2020
PEUGEOT,PEUGEOT 2008,94762.0,Essence,Boite de vitesse manuelle,130,2,SUV,Noir,Mi-cuir ,121.5,Crit'Air 1,Unknown,2019,24750.0,09/03/2019
FORD,FORD PUMA,62593.0,Ethanol,Boite de vitesse manuelle,125,2,SUV,Rouge,Tissu ,126.0,Crit'Air 1,Non,2022,25678.571428571428,09/03/2022
VOLKSWAGEN,VOLKSWAGEN POLO,64092.0,Essence,Boite de vitesse manuelle,65,4,Citadine,Blanc,Tissu ,105.0,Crit'Air 1,Non,2019,16990.0,09/04/2019
VOLKSWAGEN,VOLKSWAGEN POLO,84848.0,Essence,Boite de vitesse manuelle,65,2,Citadine,Gris,Tissu ,108.0,Crit'Air 1,Non,2018,17552.5,09/06/2018
PEUGEOT,PEUGEOT 208,87749.0,Essence,Boite de vitesse manuelle,82,3,Citadine,Noir,Tissu ,108.0,Crit'Air 1,Oui,2018,17750.0,09/07/2018
PEUGEOT,PEUGEOT 2008,20945.0,Essence,Boite de vitesse manuelle,131,1,SUV,Gris,Mi-cuir ,127.0,Crit'Air 1,Non,2023,31870.0,09/03/2023
FORD,FORD ECOSPORT,69260.0,Diesel,Boite de vitesse manuelle,120,2,SUV,Blanc,Alcantara ,152.0,Crit'Air 2,Non,2020,24900.0,09/10/2020
PEUGEOT,PEUGEOT 2008,68155.0,Essence,Boite de vitesse automatique,131,2,SUV,Bleu,Mi-cuir ,109.0,Crit'Air 1,Non,2020,29600.0,09/02/2020
SKODA,SKODA OCTAVIA,52220.0,Essence,Boite de vitesse manuelle,150,2,Berline,Gris,Tissu ,122.0,Crit'Air 1,Non,2022,28380.0,09/02/2022
MAZDA,MAZDA CX-5,80917.0,Diesel,Boite de vitesse automatique,150,3,SUV,Blanc,Tissu ,143.0,Crit'Air 2,Non,2019,38600.0,09/12/2019
BMW,BMW SÉRIE 1,72968.0,Essence,Boite de vitesse automatique,140,3,Berline,Gris,Alcantara ,147.0,Crit'Air 1,Oui,2020,39000.0,09/07/2020
SEAT,SEAT ARONA,83382.0,Essence,Boite de vitesse automatique,115,1,SUV,Gris,Tissu ,106.0,Crit'Air 1,Non,2019,25500.0,09/02/2019
PEUGEOT,PEUGEOT 208,94704.0,Essence,Boite de vitesse manuelle,68,2,Citadine,Blanc,Tissu ,108.0,Crit'Air 1,Non,2017,15475.0,09/09/2017
DACIA,DACIA SANDERO,12886.0,Essence,Boite de vitesse manuelle,91,1,Citadine,Vert,Tissu ,127.0,Crit'Air 1,Non,2023,17333.333333333332,09/05/2023
MERCEDES,MERCEDES-BENZ CLA,41851.0,Essence,Boite de vitesse automatique,163,2,Berline,Gris,Alcantara ,138.0,Crit'Air 1,Non,2022,45250.0,09/04/2022
VOLKSWAGEN,VOLKSWAGEN ARTEON,80026.0,Essence,Boite de vitesse automatique,190,1,Berline,Noir,Cuir ,135.0,Crit'Air 1,Non,2018,51290.0,09/06/2018
KIA,KIA XCEED,93504.0,Hybride,Boite de vitesse automatique,140,2,SUV,Noir,Mi-cuir ,157.0,Crit'Air 1,Non,2020,35640.0,09/08/2020
RENAULT,RENAULT CLIO,65205.0,Essence,Boite de vitesse manuelle,100,2,Citadine,Gris,Mi-cuir ,117.0,Crit'Air 1,Non,2020,21300.0,09/06/2020
NISSAN,NISSAN JUKE,80212.0,Essence,Boite de vitesse manuelle,115,2,SUV,Blanc,Tissu ,128.0,Crit'Air 1,Oui,2018,22000.0,09/08/2018
CITROEN,CITROEN C5 AIRCROSS,58437.0,Diesel,Boite de vitesse automatique,131,Inconnu,SUV,Gris,Cuir ,138.0,Crit'Air 2,Non,2020,38100.0,09/06/2020
HYUNDAI,HYUNDAI TUCSON,39094.0,Hybride,Boite de vitesse automatique,265,3,SUV,Gris,Cuir ,31.0,Crit'Air 1,Oui,2022,52750.0,09/10/2022
RENAULT,RENAULT TALISMAN,63395.0,Diesel,Boite de vitesse manuelle,110,3,Berline,Gris,Tissu ,95.0,Crit'Air 2,Non,2017,32700.0,09/06/2017
BMW,BMW SÉRIE 1,18689.0,Diesel,Boite de vitesse automatique,190,Inconnu,Berline,Gris,Mi-cuir ,130.0,Crit'Air 2,Non,2023,50000.0,09/06/2023
DACIA,DACIA DUSTER,29647.0,Diesel,Boite de vitesse manuelle,116,3,SUV,Gris,Tissu ,128.0,Crit'Air 2,Non,2020,19425.0,09/09/2020
FORD,FORD KUGA,82548.0,Diesel,Boite de vitesse manuelle,120,Inconnu,SUV,Blanc,Mi-cuir ,115.0,Crit'Air 2,Non,2017,30500.0,09/11/2017
MERCEDES,MERCEDES-BENZ CLASSE A,39982.0,Essence,Boite de vitesse manuelle,136,2,Berline,Gris,Mi-cuir ,135.0,Crit'Air 1,Non,2021,30925.0,09/06/2021
SKODA,SKODA FABIA,550.0,Essence,Boite de vitesse automatique,110,1,Citadine,Gris,Tissu ,127.0,Crit'Air 1,Non,2023,24610.0,09/09/2023
FORD,FORD ECOSPORT,69260.0,Diesel,Boite de vitesse manuelle,120,2,SUV,Blanc,Alcantara ,152.0,Crit'Air 2,Non,2020,24900.0,09/10/2020
FIAT,FIAT 500C,30747.0,Essence,Boite de vitesse manuelle,70,3,Cabriolet,Gris,Mi-cuir ,122.0,Crit'Air 1,Non,2020,19940.0,09/06/2020
RENAULT,RENAULT CLIO,47981.0,Essence,Boite de vitesse automatique,130,2,Citadine,Bleu,Cuir ,119.0,Crit'Air 1,Non,2019,25600.0,09/09/2019
PEUGEOT,PEUGEOT 5008,61183.0,Essence,Boite de vitesse automatique,130,2,SUV,Bleu,Mi-cuir ,115.0,Crit'Air 1,Non,2019,37337.5,09/02/2019
PEUGEOT,PEUGEOT 2008,46560.0,Essence,Boite de vitesse manuelle,130,2,SUV,Gris,Tissu ,112.0,Crit'Air 1,Oui,2019,24750.0,09/03/2019
VOLKSWAGEN,VOLKSWAGEN GOLF VII,91676.0,Essence,Boite de vitesse automatique,130,3,Berline,Blanc,Tissu ,107.0,Crit'Air 1,Unknown,2019,29120.0,09/04/2019
PEUGEOT,PEUGEOT 308,37844.0,Diesel,Boite de vitesse automatique,130,2,Break,Bleu,Tissu ,123.0,Crit'Air 2,Non,2021,32150.0,09/01/2021
FORD,FORD FIESTA,38570.0,Essence,Boite de vitesse manuelle,75,2,Citadine,Rouge,Tissu ,121.0,Crit'Air 1,Non,2021,17070.0,09/03/2021
OPEL,OPEL COMBO LIFE,65966.0,Diesel,Boite de vitesse automatique,130,1,Monospace,Noir,Tissu ,113.0,Crit'Air 2,Non,2019,28106.666666666668,09/07/2019
FORD,FORD TOURNEO CONNECT,66403.0,Diesel,Boite de vitesse manuelle,100,2,Monospace,Vert,Tissu ,157.0,Crit'Air 2,Unknown,2019,27650.0,09/07/2019
